2024-10-09 at 19:22:32 | INFO | Configuration loaded:
2024-10-09 at 20:19:27 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:19:27 | INFO | USERS_TABLE: users
2024-10-09 at 20:19:27 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:19:27 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:22:08 | INFO | Configuration loaded:
2024-10-09 at 20:22:08 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:22:08 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:22:08 | INFO | USERS_TABLE: users
2024-10-09 at 20:22:08 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:22:08 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:22:09 | INFO | Configuration loaded:
2024-10-09 at 20:22:09 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:22:09 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:22:09 | INFO | USERS_TABLE: users
2024-10-09 at 20:22:09 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:22:09 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:28:50 | INFO | Configuration loaded:
2024-10-09 at 20:28:50 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:28:50 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:28:50 | INFO | USERS_TABLE: users
2024-10-09 at 20:28:50 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:28:50 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:28:51 | INFO | Configuration loaded:
2024-10-09 at 20:28:51 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:28:51 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:28:51 | INFO | USERS_TABLE: users
2024-10-09 at 20:28:51 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:28:51 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:37:43 | ERROR | Failed to import required modules: cannot import name 'USERS_TABLE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)
2024-10-09 at 20:37:43 | ERROR | Please check your configuration and ensure all required modules are installed.
2024-10-09 at 20:37:43 | ERROR | Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 27, in <module>
    from bot.config import TELEGRAM_BOT_TOKEN, supabase, USERS_TABLE, MAX_REQUESTS_PER_MINUTE, LOG_LEVEL, SUPABASE_URL, MEDIA_CACHE_DIR, SUPABASE_PUBLIC_KEY, SUPABASE_SERVICE_ROLE_KEY
ImportError: cannot import name 'USERS_TABLE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)

2024-10-09 at 20:37:43 | ERROR | Failed to import required modules: cannot import name 'USERS_TABLE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)
2024-10-09 at 20:37:43 | ERROR | Please check your configuration and ensure all required modules are installed.
2024-10-09 at 20:37:43 | ERROR | Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 27, in <module>
    from bot.config import TELEGRAM_BOT_TOKEN, supabase, USERS_TABLE, MAX_REQUESTS_PER_MINUTE, LOG_LEVEL, SUPABASE_URL, MEDIA_CACHE_DIR, SUPABASE_PUBLIC_KEY, SUPABASE_SERVICE_ROLE_KEY
ImportError: cannot import name 'USERS_TABLE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 283, in wrap_session
    session.exitstatus = doit(config, session) or 0
                         ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 336, in _main
    config.hook.pytest_collection(session=session)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_hooks.py", line 513, in __call__
    return self._hookexec(self.name, self._hookimpls.copy(), kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_manager.py", line 120, in _hookexec
    return self._inner_hookexec(hook_name, methods, kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 139, in _multicall
    raise exception.with_traceback(exception.__traceback__)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/logging.py", line 790, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/warnings.py", line 121, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/config/__init__.py", line 1417, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 103, in _multicall
    res = hook_impl.function(*args)
          ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 347, in pytest_collection
    session.perform_collect()
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 809, in perform_collect
    self.items.extend(self.genitems(node))
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 975, in genitems
    yield from self.genitems(subnode)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 970, in genitems
    rep, duplicate = self._collect_one_node(node, handle_dupes)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 835, in _collect_one_node
    rep = collect_one_node(node)
          ^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 567, in collect_one_node
    rep: CollectReport = ihook.pytest_make_collect_report(collector=collector)
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_hooks.py", line 513, in __call__
    return self._hookexec(self.name, self._hookimpls.copy(), kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_manager.py", line 120, in _hookexec
    return self._inner_hookexec(hook_name, methods, kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 139, in _multicall
    raise exception.with_traceback(exception.__traceback__)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/capture.py", line 860, in pytest_make_collect_report
    rep = yield
          ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 103, in _multicall
    res = hook_impl.function(*args)
          ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 391, in pytest_make_collect_report
    call = CallInfo.from_call(
           ^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 341, in from_call
    result: TResult | None = func()
                             ^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 389, in collect
    return list(collector.collect())
                ^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pytest_asyncio/plugin.py", line 667, in _patched_collect
    module = collector.obj
             ^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/python.py", line 284, in obj
    self._obj = obj = self._getobj()
                      ^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/python.py", line 546, in _getobj
    return importtestmodule(self.path, self.config)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/python.py", line 493, in importtestmodule
    mod = import_path(
          ^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/pathlib.py", line 582, in import_path
    importlib.import_module(module_name)
  File "/opt/homebrew/Cellar/python@3.12/3.12.7/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/__init__.py", line 90, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/assertion/rewrite.py", line 184, in exec_module
    exec(co, module.__dict__)
  File "/Users/irfandi/Coding/2024_Project/match-bot/tests/test_bot.py", line 3, in <module>
    from bot.handlers.start import start, handle_username, handle_first_name, handle_last_name, handle_age, handle_gender, handle_bio
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/__init__.py", line 7, in <module>
    from .bot import bot
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 35, in <module>
    sys.exit(1)
SystemExit: 1

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 27, in <module>
    from bot.config import TELEGRAM_BOT_TOKEN, supabase, USERS_TABLE, MAX_REQUESTS_PER_MINUTE, LOG_LEVEL, SUPABASE_URL, MEDIA_CACHE_DIR, SUPABASE_PUBLIC_KEY, SUPABASE_SERVICE_ROLE_KEY
ImportError: cannot import name 'USERS_TABLE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)

2024-10-09 at 20:41:46 | ERROR | Failed to import required modules: cannot import name 'MAX_REQUESTS_PER_MINUTE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)
2024-10-09 at 20:41:46 | ERROR | Please check your configuration and ensure all required modules are installed.
2024-10-09 at 20:41:46 | ERROR | Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 27, in <module>
    from bot.config import TELEGRAM_BOT_TOKEN, supabase, USERS_TABLE, MAX_REQUESTS_PER_MINUTE, LOG_LEVEL, SUPABASE_URL, MEDIA_CACHE_DIR, SUPABASE_PUBLIC_KEY, SUPABASE_SERVICE_ROLE_KEY
ImportError: cannot import name 'MAX_REQUESTS_PER_MINUTE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)

2024-10-09 at 20:41:46 | ERROR | Failed to import required modules: cannot import name 'MAX_REQUESTS_PER_MINUTE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)
2024-10-09 at 20:41:46 | ERROR | Please check your configuration and ensure all required modules are installed.
2024-10-09 at 20:41:46 | ERROR | Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/bot/bot.py", line 27, in <module>
    from bot.config import TELEGRAM_BOT_TOKEN, supabase, USERS_TABLE, MAX_REQUESTS_PER_MINUTE, LOG_LEVEL, SUPABASE_URL, MEDIA_CACHE_DIR, SUPABASE_PUBLIC_KEY, SUPABASE_SERVICE_ROLE_KEY
ImportError: cannot import name 'MAX_REQUESTS_PER_MINUTE' from 'bot.config' (/Users/irfandi/Coding/2024_Project/match-bot/bot/config.py)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 283, in wrap_session
    session.exitstatus = doit(config, session) or 0
                         ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 336, in _main
    config.hook.pytest_collection(session=session)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_hooks.py", line 513, in __call__
    return self._hookexec(self.name, self._hookimpls.copy(), kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_manager.py", line 120, in _hookexec
    return self._inner_hookexec(hook_name, methods, kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 139, in _multicall
    raise exception.with_traceback(exception.__traceback__)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/logging.py", line 790, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/warnings.py", line 121, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/config/__init__.py", line 1417, in pytest_collection
    return (yield)
            ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 103, in _multicall
    res = hook_impl.function(*args)
          ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 347, in pytest_collection
    session.perform_collect()
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 809, in perform_collect
    self.items.extend(self.genitems(node))
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 975, in genitems
    yield from self.genitems(subnode)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 970, in genitems
    rep, duplicate = self._collect_one_node(node, handle_dupes)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/main.py", line 835, in _collect_one_node
    rep = collect_one_node(node)
          ^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 567, in collect_one_node
    rep: CollectReport = ihook.pytest_make_collect_report(collector=collector)
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_hooks.py", line 513, in __call__
    return self._hookexec(self.name, self._hookimpls.copy(), kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_manager.py", line 120, in _hookexec
    return self._inner_hookexec(hook_name, methods, kwargs, firstresult)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 139, in _multicall
    raise exception.with_traceback(exception.__traceback__)
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 122, in _multicall
    teardown.throw(exception)  # type: ignore[union-attr]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/capture.py", line 860, in pytest_make_collect_report
    rep = yield
          ^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/pluggy/_callers.py", line 103, in _multicall
    res = hook_impl.function(*args)
          ^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/irfandi/Coding/2024_Project/match-bot/venv/lib/python3.12/site-packages/_pytest/runner.py", line 391, in pytest_make_collect_report
